饭团	6	海苔	实惠、素、家常、饱腹、和风	
司康饼	8	黄油、面粉	实惠、饱腹、西式	
海鲜味噌汤	8	海苔	实惠、素、家常、汤羹	重油
炙猪肉饭团	14	猪肉	实惠、肉、家常、饱腹、和风	
炒肉丝	15	猪肉	实惠、肉、家常、重油、下酒、中华	
油豆腐	16	豆腐	实惠、素、家常、重油、和风	
腌黄瓜	16	黄瓜、黑盐	实惠、素、下酒、咸、小巧	
露水煮蛋	18	鸡蛋、露水	实惠、清淡、生	肉、水产、重油
烤蘑菇	18	蘑菇	实惠、素、咸、灼热、菌类、烧烤	
香炸蝉蜕	19	蝉蜕	实惠、重油、猎奇	
豆腐锅	19	豆腐	实惠、清淡、素、和风、灼热	
云山棉花糖	20	蜂蜜、桃子	甜、不可思议、特产、果味	肉、咸
凉菜雕花	20	萝卜	素、清淡、适合拍照、凉爽	肉、灼热
牛肉盖浇饭	20	牛肉	肉、饱腹、家常	
奶油炖菜	20	蘑菇、洋葱、黄油	素、西式、菌类、汤羹	
猪肉盖浇饭	20	猪肉	肉、家常、饱腹	
蘑菇肉片	20	蘑菇、猪肉	肉、家常、重油、菌类	
豆腐味噌	21	豆腐	素、家常、和风、清淡、汤羹	重油
冷豆腐	21	萝卜、豆腐	素、家常、清淡、小巧、下酒	
热松饼	22	鸡蛋、面粉、蜂蜜	饱腹、西式、甜	
土豆可乐饼	22	土豆	素、家常、重油	凉爽
煮豆腐	22	豆腐	素、家常、清淡	家常、清淡
炸虾天妇罗	22	虾、面粉	重油、下酒	清淡
烤八目鳗	22	八目鳗	水产、烧烤、招牌	肉、素
臭豆腐	24	豆腐、辣椒	素、中华、猎奇、辣	甜、果味
大阪烧	24	面粉、鸡蛋、萝卜	和风、招牌、适合拍照、小巧	
烤地瓜	25	地瓜	实惠、家常、饱腹、甜	下酒
北极甜虾蜜桃色拉	25	桃子、虾、冰块	水产、素、清淡、甜、适合拍照、不可思议、果味	咸、肉
炸猪肉排	25	猪肉	肉、家常、重油、饱腹	
竹笋炒肉	25	猪肉、竹笋	肉、家常、下酒	
丧气芝士条	25	芝士、白果、白果	下酒、咸、鲜、特产	
